#	Kanji	Reading	Definition	6K #	Jisho
1	一つ	ひとつ	one (thing)	2	Jisho
2	一	いち	one	3	Jisho
3	一般	いっぱん	general, common	1178	Jisho
4	これ	これ	this, this one	10	Jisho
5	二	に	two	4	Jisho
6	二つ	ふたつ	two (things)	5	Jisho
7	それ	それ	that, that one	1	Jisho
8	三	さん	three	6	Jisho
9	三つ	みっつ	three (things)	7	Jisho
10	四	よん	four (Japanese origin)	11	Jisho
11	四つ	よっつ	four (things)	8	Jisho
12	四	し	four (Chinese origin)	9	Jisho
13	いつ	いつ	when	220	Jisho
14	五	ご	five	13	Jisho
15	五つ	いつつ	five (things)	12	Jisho
16	六	ろく	six	15	Jisho
17	六つ	むっつ	six (things)	14	Jisho
18	する	する	do, make	30	Jisho
19	七	なな	seven (Japanese origin)	16	Jisho
20	七つ	ななつ	seven (things)	17	Jisho
21	七	しち	seven (Chinese origin)	402	Jisho
22	なる	なる	become	20	Jisho
23	八	はち	eight	18	Jisho
24	八つ	やっつ	eight (things)	19	Jisho
25	九	きゅう	nine	21	Jisho
26	九つ	ここのつ	nine (things)	22	Jisho
27	九	く	nine	403	Jisho
28	まだ	まだ	(not) yet, still	187	Jisho
29	十	じゅう	ten	23	Jisho
30	二十歳	はたち	20 years old	1133	Jisho
31	百	ひゃく	hundred	24	Jisho
32	千	せん	thousand	25	Jisho
33	あと	あと	after	134	Jisho
34	万	まん	ten thousand	26	Jisho
35	億	おく	hundred million	404	Jisho
36	円	えん	Japanese yen	28	Jisho
37	円	えん	circle	27	Jisho
38	そう	そう	so, that way	60	Jisho
39	時	とき	time, moment	29	Jisho
40	時々	ときどき	sometimes	31	Jisho
41	寺	てら	temple	405	Jisho
42	一日	ついたち	first of the month	41	Jisho
43	二十日	はつか	20 days, 20th of the month	37	Jisho
44	二日	ふつか	two days, second of the month	38	Jisho
45	三日	みっか	three days, third of the month	34	Jisho
46	四日	よっか	four days, fourth of the month	44	Jisho
47	五日	いつか	five days, fifth of the month	35	Jisho
48	六日	むいか	six days, sixth of the month	33	Jisho
49	七日	なのか	seven days, seventh of the month	43	Jisho
50	八日	ようか	eight days, eighth of the month	36	Jisho
51	九日	ここのか	nine days, ninth of the month	39	Jisho
52	十日	とおか	ten days, tenth of the month	42	Jisho
53	日時	にちじ	date and time	4007	Jisho
54	日	にち	counter for days	32	Jisho
55	日	ひ	(specific) day, sun, daytime	407	Jisho
56	日陰	ひかげ	shade	1897	Jisho
57	もう	もう	already, yet	70	Jisho
58	どうぞ	どうぞ	please	1476	Jisho
59	よく	よく	often, well	80	Jisho
60	どう	どう	how, what	90	Jisho
61	金	かね	money	47	Jisho
62	金	きん	gold	410	Jisho
63	金額	きんがく	amount of money, sum	2452	Jisho
64	貯金	ちょきん	savings, deposit	1652	Jisho
65	あげる	あげる	give	110	Jisho
66	月	つき	moon	45	Jisho
67	火	ひ	fire	408	Jisho
68	水	みず	water	46	Jisho
69	木	き	tree, wood	409	Jisho
70	日曜日	にちようび	Sunday	48	Jisho
71	土曜日	どようび	Saturday	49	Jisho
72	金曜日	きんようび	Friday	51	Jisho
73	月曜日	げつようび	Monday	52	Jisho
74	木曜日	もくようび	Thursday	53	Jisho
75	曜日	ようび	day of the week	54	Jisho
76	火曜日	かようび	Tuesday	55	Jisho
77	水曜日	すいようび	Wednesday	56	Jisho
78	こう	こう	like this, such	120	Jisho
79	くれる	くれる	be given	130	Jisho
80	どこ	どこ	where	100	Jisho
81	週	しゅう	week	57	Jisho
82	週末	しゅうまつ	weekend	703	Jisho
83	年月	ねんげつ	years, period of time	4016	Jisho
84	年	とし	year, age	58	Jisho
85	もっと	もっと	more	150	Jisho
86	十分	じゅうぶん	enough, plentiful	412	Jisho
87	分かる	わかる	understand	59	Jisho
88	分	ぶん	amount, share	413	Jisho
89	分ける	わける	divide, share	414	Jisho
90	分かれる	わかれる	be divided, split off	415	Jisho
91	随分	ずいぶん	extremely, considerably	1898	Jisho
92	そこ	そこ	there	160	Jisho
93	何	なに	what	61	Jisho
94	何	なん	what (used with t, d, n consonants and counters)	418	Jisho
95	何か	なにか	something, some	417	Jisho
96	何とか	なんとか	somehow, please	4020	Jisho
97	何しろ	なにしろ	anyhow, as you may know	4029	Jisho
98	とても	とても	very	190	Jisho
99	先月	せんげつ	last month	420	Jisho
100	先週	せんしゅう	last week	422	Jisho
101	先	さき	ahead, first	62	Jisho
102	先ず	まず	first of all, to begin with	419	Jisho
103	先輩	せんぱい	senior, superior	5893	Jisho
104	あなた	あなた	you		Jisho
105	今日	きょう	today	65	Jisho
106	今月	こんげつ	this month	66	Jisho
107	今週	こんしゅう	this week	67	Jisho
108	今年	ことし	this year	63	Jisho
109	今	いま	now	64	Jisho
110	今まで	いままで	until now	423	Jisho
111	どれ	どれ	what, which	240	Jisho
112	いつも	いつも	always (colloquial)	210	Jisho
113	来月	らいげつ	next month	424	Jisho
114	来週	らいしゅう	next week	425	Jisho
115	来年	らいねん	next year	69	Jisho
116	来る	くる	come	68	Jisho
117	未来	みらい	future	702	Jisho
118	将来	しょうらい	future, in the future	3116	Jisho
119	みんな	みんな	everybody	200	Jisho
120	行く	いく	go	71	Jisho
121	行き	いき	going, bound for	428	Jisho
122	行き	ゆき	going, bound for (traditional reading)	429	Jisho
123	できる	できる	can do, be good at	94	Jisho
124	帰る	かえる	go back home	72	Jisho
125	帰り	かえり	return, going home	430	Jisho
126	大分	だいぶ	very, greatly	433	Jisho
127	大きい	おおきい	big	73	Jisho
128	大きさ	おおきさ	size, dimension	432	Jisho
129	大型	おおがた	large, large scale	1089	Jisho
130	拡大	かくだい	magnification, enlargement	1330	Jisho
131	大統領	だいとうりょう	president (of a country)	1395	Jisho
132	大幅	おおはば	drastically, substantially	1479	Jisho
133	大抵	たいてい	generally, mostly	1772	Jisho
134	どちら	どちら	which	230	Jisho
135	ドア	どあ	door	250	Jisho
136	日中	にっちゅう	during the day	4040	Jisho
137	年中	ねんじゅう	all year	4045	Jisho
138	中	なか	inside, middle		Jisho
139	途中	とちゅう	on the way, half way	5333	Jisho
140	やる	やる	do, give	50	Jisho
141	少年	しょうねん	boy (between 7 and 18 years old)	435	Jisho
142	少ない	すくない	few, little	75	Jisho
143	少し	すこし	a bit, a little while	76	Jisho
144	少しも	すこしも	(not) in the least	437	Jisho
145	少々	しょうしょう	a little, a bit	438	Jisho
146	かなり	かなり	fairly, rather	140	Jisho
147	いる	いる	be present, stay	1829	Jisho
148	多分	たぶん	probably, perhaps	78	Jisho
149	多い	おおい	a lot of, many	77	Jisho
150	多く	おおく	much, largely	439	Jisho
151	年上	としうえ	older, senior	443	Jisho
152	上げる	あげる	raise, lift	79	Jisho
153	上る	のぼる	go up, climb	81	Jisho
154	上	うえ	up, above	82	Jisho
155	上がる	あがる	go up, rise (physical movement)		Jisho
156	上り	のぼり	going up, ascent	444	Jisho
157	上がる	あがる	go up, increase (in quality or quantity)		Jisho
158	ここ	ここ	here	170	Jisho
159	もらう	もらう	receive	180	Jisho
160	年下	としした	younger, junior	452	Jisho
161	下	した	under, below	83	Jisho
162	下りる	おりる	go down, come down	448	Jisho
163	下げる	さげる	lower, turn down	445	Jisho
164	下がる	さがる	go down, drop	447	Jisho
165	下ろす	おろす	bring down, take down	449	Jisho
166	下り	くだり	downhill, going down	450	Jisho
167	下る	くだる	go down, go away from	453	Jisho
168	廊下	ろうか	hallway, corridor	1973	Jisho
169	しゃべる	しゃべる	chat, talk	260	Jisho
170	テーブル	てーぶる	table	270	Jisho
171	右	みぎ	right	84	Jisho
172	左右	さゆう	right and left	2032	Jisho
173	左	ひだり	left	85	Jisho
174	ゲーム	げーむ	game	280	Jisho
175	一方	いっぽう	one way	454	Jisho
176	方	ほう	direction, side	86	Jisho
177	方	かた	person (polite form)	455	Jisho
178	一人	ひとり	one person	89	Jisho
179	一人で	ひとりで	by oneself, alone	460	Jisho
180	二人	ふたり	two persons	457	Jisho
181	大人	おとな	adult		Jisho
182	大人しい	おとなしい	gentle, quiet	458	Jisho
183	人	ひと	person	88	Jisho
184	人々	ひとびと	people	459	Jisho
185	個人	こじん	individual	879	Jisho
186	どうして	どうして	why	290	Jisho
187	ミーティング	みーてぃんぐ	meeting	310	Jisho
188	入れる	いれる	put in	91	Jisho
189	入る	はいる	enter	92	Jisho
190	つける	つける	switch on, turn on	320	Jisho
191	出る	でる	go out, leave	93	Jisho
192	出す	だす	take out	95	Jisho
193	外人	がいじん	foreigner, alien	462	Jisho
194	外	そと	outside, open air	463	Jisho
195	カタカナ	かたかな	katakana	375	Jisho
196	本	ほん	book, volume		Jisho
197	基本	きほん	basics	1229	Jisho
198	休日	きゅうじつ	holiday, day off	464	Jisho
199	休む	やすむ	take a rest, take a break	97	Jisho
200	休み	やすみ	rest, holiday		Jisho
201	休憩	きゅうけい	rest, break	1809	Jisho
202	あれ	あれ	that (over there)	330	Jisho
203	力	ちから	strength, power	467	Jisho
204	協力	きょうりょく	cooperation, collaboration	468	Jisho
205	努力	どりょく	endeavor, effort	1604	Jisho
206	まずい	まずい	bad (taste), distasteful	340	Jisho
207	入り口	いりぐち	entrance	472	Jisho
208	出口	でぐち	exit	470	Jisho
209	口	くち	mouth	101	Jisho
210	改札口	かいさつぐち	ticket gate	1594	Jisho
211	そば	そば	side, vicinity	350	Jisho
212	耳	みみ	ear	102	Jisho
213	上手	じょうず	good, skilled	103	Jisho
214	下手	へた	not good at	475	Jisho
215	右手	みぎて	right hand	473	Jisho
216	左手	ひだりて	left hand	474	Jisho
217	手	て	hand	104	Jisho
218	拍手	はくしゅ	applause, clapping	1873	Jisho
219	こっち	こっち	here	360	Jisho
220	ちょっと	ちょっと	just a moment, just a little		Jisho
221	足	あし	leg, foot	105	Jisho
222	足りる	たりる	suffice, be enough	477	Jisho
223	足す	たす	add (things of the same kind)	478	Jisho
224	山	やま	mountain	479	Jisho
225	これから	これから	from now on, after this	3884	Jisho
226	川	かわ	river, stream	480	Jisho
227	空く	すく	be empty, become less crowded	106	Jisho
228	空	そら	sky		Jisho
229	空く	あく	become available or vacant	482	Jisho
230	海外	かいがい	overseas, abroad	485	Jisho
231	海	うみ	sea, ocean	487	Jisho
232	海岸	かいがん	seashore, coast	1668	Jisho
233	あそこ	あそこ	over there	380	Jisho
234	毎日	まいにち	every day	488	Jisho
235	毎月	まいつき	every month	493	Jisho
236	毎週	まいしゅう	every week	492	Jisho
237	毎年	まいとし	every year (colloquial)	489	Jisho
238	毎年	まいねん	every year (formal)	490	Jisho
239	いっぱい	いっぱい	full	321	Jisho
240	石	いし	stone, small rock		Jisho
241	石鹸	せっけん	soap	2000	Jisho
242	いい	いい	good (informal/spoken form)	207	Jisho
243	林	はやし	woods, forest	498	Jisho
244	森	もり	forest	499	Jisho
245	少女	しょうじょ	girl		Jisho
246	女	おんな	woman, female	108	Jisho
247	女性	じょせい	woman, female	828	Jisho
248	ため	ため	sake, purpose	400	Jisho
249	男	おとこ	man, male	107	Jisho
250	男の子	おとこのこ	boy	503	Jisho
251	女の子	おんなのこ	girl	502	Jisho
252	子	こ	child, kid	500	Jisho
253	息子	むすこ	son	305	Jisho
254	お菓子	おかし	sweets, snacks		Jisho
255	帽子	ぼうし	hat, cap	1917	Jisho
256	椅子	いす	chair	1991	Jisho
257	ゆっくり	ゆっくり	slowly	726	Jisho
258	もつ	もつ	last long, be durable	818	Jisho
259	大好き	だいすき	love	112	Jisho
260	好き	すき	favorite, liked	111	Jisho
261	私	わたし	I (general)	113	Jisho
262	私たち	わたしたち	we	504	Jisho
263	私	わたくし	I (formal)	4097	Jisho
264	ドル	どる	dollar	406	Jisho
265	友達	ともだち	friend, companion	114	Jisho
266	達する	たっする	attain, reach	505	Jisho
267	システム	しすてむ	system	411	Jisho
268	家内	かない	one's wife	508	Jisho
269	家	うち	home, household	115	Jisho
270	家	いえ	house, dwelling	507	Jisho
271	家族	かぞく	family, household	1130	Jisho
272	コンピューター	こんぴゅーたー	computer	416	Jisho
273	客	きゃく	visitor, customer	509	Jisho
274	天ぷら	てんぷら	deep-fried fish and vegetables in a light batter	1891	Jisho
275	天井	てんじょう	ceiling	1810	Jisho
276	人気	にんき	popularity	513	Jisho
277	気に入る	きにいる	like, be pleased with	512	Jisho
278	空気	くうき	air, atmosphere	510	Jisho
279	元気	げんき	healthy, energetic	117	Jisho
280	天気	てんき	weather	118	Jisho
281	気	き	spirit, temperament	116	Jisho
282	元旦	がんたん	New Year's Day	1976	Jisho
283	やる	やる	give (to an inferior)	421	Jisho
284	ほとんど	ほとんど	almost, hardly	431	Jisho
285	雪	ゆき	snow, snowfall	515	Jisho
286	青い	あおい	blue	517	Jisho
287	青	あお	blue, green	518	Jisho
288	もう	もう	another, again	441	Jisho
289	晴れる	はれる	be sunny, clear up	119	Jisho
290	晴れ	はれ	fine weather, clear sky	519	Jisho
291	素晴らしい	すばらしい	excellent, wonderful	1667	Jisho
292	明日	あした	tomorrow (colloquial)		Jisho
293	明るい	あかるい	bright, cheerful	522	Jisho
294	明らか	あきらか	clear, obvious	520	Jisho
295	プログラム	ぷろぐらむ	program booklet	446	Jisho
296	一昨日	おととい	the day before yesterday (colloquial)	528	Jisho
297	一昨年	おととし	the year before last (colloquial)	527	Jisho
298	昨日	きのう	yesterday (colloquial)	121	Jisho
299	昨年	さくねん	last year (formal, often used in writing)	525	Jisho
300	まま	まま	as is, still (in the current state)	456	Jisho
301	東	ひがし	east, eastern		Jisho
302	西	にし	west, western	530	Jisho
303	南	みなみ	south	532	Jisho
304	テレビ	てれび	television	461	Jisho
305	北	きた	north	533	Jisho
306	方向	ほうこう	direction, course	534	Jisho
307	向かう	むかう	face, head toward	535	Jisho
308	向こう	むこう	over there, on the other side	537	Jisho
309	向く	むく	turn, face	538	Jisho
310	ただ	ただ	free	471	Jisho
311	開ける	あける	open, unlock (doors, windows, etc.)	122	Jisho
312	開く	ひらく	open (books, eyes, etc.)	123	Jisho
313	開く	あく	open	539	Jisho
314	これら	これら	these	476	Jisho
315	閉める	しめる	shut, close (doors, windows, etc.)	125	Jisho
316	閉じる	とじる	shut, close (books, eyes, etc.)	124	Jisho
317	閉まる	しまる	be shut, be closed	126	Jisho
318	聞く	きく	hear, ask	127	Jisho
319	聞こえる	きこえる	hear, be heard	540	Jisho
320	あまり	あまり	(not) much	486	Jisho
321	時間	じかん	time, hour	128	Jisho
322	年間	ねんかん	period of one year	542	Jisho
323	人間	にんげん	human being	545	Jisho
324	この間	このあいだ	the other day, not so long ago	543	Jisho
325	間	あいだ	interval, space between things	544	Jisho
326	居間	いま	living room	3706	Jisho
327	クラス	くらす	class (in school)	626	Jisho
328	高い	たかい	high, tall	129	Jisho
329	高さ	たかさ	height		Jisho
330	バス	ばす	bus	621	Jisho
331	安い	やすい	cheap, inexpensive	131	Jisho
332	安っぽい	やすっぽい	cheap-looking, tacky	4128	Jisho
333	低い	ひくい	low, short	132	Jisho
334	最大	さいだい	biggest, largest	548	Jisho
335	最初	さいしょ	first, outset	550	Jisho
336	初めて	はじめて	for the first time	549	Jisho
337	初め	はじめ	first, beginning (in terms of time passage)	552	Jisho
338	こちら	こちら	here, this way	926	Jisho
339	明後日	あさって	day after tomorrow (colloquial)	557	Jisho
340	今後	こんご	in the future, from now on	553	Jisho
341	最後	さいご	last, final	555	Jisho
342	後ろ	うしろ	back, behind	135	Jisho
343	後	のち	after, afterward	554	Jisho
