#	Kanji	Reading	Definition	Part	Jisho
1	それ	それ	that, that one	Pronoun	Jisho
2	一つ	ひとつ	one (thing)	Noun	Jisho
3	一	いち	one	Noun	Jisho
4	二	に	two	Noun	Jisho
5	二つ	ふたつ	two (things)	Noun	Jisho
6	三	さん	three	Noun	Jisho
7	三つ	みっつ	three (things)	Noun	Jisho
8	四つ	よっつ	four (things)	Noun	Jisho
9	四	し	four	Noun	Jisho
10	これ	これ	this, this one	Noun	Jisho
11	四	よん	four	Noun	Jisho
12	五つ	いつつ	five (things)	Noun	Jisho
13	五	ご	five	Noun	Jisho
14	六つ	むっつ	six (things)	Noun	Jisho
15	六	ろく	six	Noun	Jisho
16	七	なな	seven	Noun	Jisho
17	七つ	ななつ	seven (things)	Noun	Jisho
18	八	はち	eight	Noun	Jisho
19	八つ	やっつ	eight (things)	Noun	Jisho
20	なる	なる	become	Verb	Jisho
21	九	きゅう	nine	Noun	Jisho
22	九つ	ここのつ	nine (things)	Noun	Jisho
23	十	じゅう	ten	Noun	Jisho
24	百	ひゃく	hundred	Noun	Jisho
25	千	せん	thousand	Noun	Jisho
26	万	まん	ten thousand	Noun	Jisho
27	円	えん	circle	Noun	Jisho
28	円	えん	yen	Noun	Jisho
29	時	とき	time	Noun	Jisho
30	する	する	do, make	Verb	Jisho
31	時々	ときどき	sometimes	Adverb	Jisho
32	日	にち	day	Noun	Jisho
33	六日	むいか	six days, 6th of the month	Noun	Jisho
34	三日	みっか	three days, 3rd of the month	Noun	Jisho
35	五日	いつか	five days, 5th of the month	Noun	Jisho
36	八日	ようか	eight days, 8th of the month	Noun	Jisho
37	二十日	はつか	20 days, 20th of the month	Noun	Jisho
38	二日	ふつか	two days, 2nd of the month	Noun	Jisho
39	九日	ここのか	nine days, 9th of the month	Noun	Jisho
40	ところ	ところ	place	Noun	Jisho
41	一日	ついたち	1st of the month	Noun	Jisho
42	十日	とおか	ten days, 10th of the month	Noun	Jisho
43	七日	なのか	seven days, 7th of the month	Noun	Jisho
44	四日	よっか	four days, 4th of the month	Noun	Jisho
45	月	つき	moon	Noun	Jisho
46	水	みず	water	Noun	Jisho
47	金	かね	money	Noun	Jisho
48	日曜日	にちようび	Sunday	Noun	Jisho
49	土曜日	どようび	Saturday	Noun	Jisho
50	やる	やる	do	Verb	Jisho
51	金曜日	きんようび	Friday	Noun	Jisho
52	月曜日	げつようび	Monday	Noun	Jisho
53	木曜日	もくようび	Thursday	Noun	Jisho
54	曜日	ようび	day of the week	Noun	Jisho
55	火曜日	かようび	Tuesday	Noun	Jisho
56	水曜日	すいようび	Wednesday	Noun	Jisho
57	週	しゅう	week	Noun	Jisho
58	年	とし	year, age	Noun	Jisho
59	分かる	わかる	understand	Verb	Jisho
60	そう	そう	in such manner, that way	Adverb	Jisho
61	何	なに	what, which	Noun	Jisho
62	先	さき	ahead, first	Noun	Jisho
63	今年	ことし	this year	Noun	Jisho
64	今	いま	now	Adverb	Jisho
65	今日	きょう	today	Noun	Jisho
66	今月	こんげつ	this month	Noun	Jisho
67	今週	こんしゅう	this week	Noun	Jisho
68	来る	くる	come	Verb	Jisho
69	来年	らいねん	next year	Noun	Jisho
70	もう	もう	already, yet	Adverb	Jisho
71	行く	いく	go	Verb	Jisho
72	帰る	かえる	return, go back	Verb	Jisho
73	大きい	おおきい	big	Adjective	Jisho
74	小さい	ちいさい	small	Adjective	Jisho
75	少ない	すくない	few, little	Adjective	Jisho
76	少し	すこし	a bit, a little while	Adverb	Jisho
77	多い	おおい	lots of	Adjective	Jisho
78	多分	たぶん	probably, perhaps	Adverb	Jisho
79	上げる	あげる	raise, improve	Verb	Jisho
80	よく	よく	often	Adverb	Jisho
81	上る	のぼる	go up	Verb	Jisho
82	上	うえ	up, above	Noun	Jisho
83	下	した	under, below	Noun	Jisho
84	右	みぎ	right	Noun	Jisho
85	左	ひだり	left	Noun	Jisho
86	方	ほう	direction, side	Noun	Jisho
87	大人	おとな	adult	Noun	Jisho
88	人	ひと	person	Noun	Jisho
89	一人	ひとり	one, one person	Noun	Jisho
90	どう	どう	how, what	Adverb	Jisho
91	入れる	いれる	put in	Verb	Jisho
92	入る	はいる	enter	Verb	Jisho
93	出る	でる	go out, leave	Verb	Jisho
94	出来る	できる	can do, be good at	Verb	Jisho
95	出す	だす	take out	Verb	Jisho
96	本	ほん	book, volume	Noun	Jisho
97	休む	やすむ	take a day off, take a break	Verb	Jisho
98	体	からだ	body, health	Noun	Jisho
99	目	め	eye	Noun	Jisho
100	どこ	どこ	where	Noun	Jisho
101	口	くち	mouth	Noun	Jisho
102	耳	みみ	ear, hearing	Noun	Jisho
103	上手	じょうず	good, skilled	Adjectival Noun	Jisho
104	手	て	hand	Noun	Jisho
105	足	あし	leg, foot	Noun	Jisho
106	空く	すく	be empty	Verb	Jisho
107	男	おとこ	man, male	Noun	Jisho
108	女	おんな	woman, girl	Noun	Jisho
109	子供	こども	child, kid	Noun	Jisho
110	あげる	あげる	give	Verb	Jisho
111	好き	すき	favorite, liked	Adjectival Noun	Jisho
112	大好き	だいすき	love	Adjective	Jisho
113	私	わたし	I	Noun	Jisho
114	友達	ともだち	friend, companion	Noun	Jisho
115	家	うち	house, home	Noun	Jisho
116	気	き	spirit, temperament	Noun	Jisho
117	元気	げんき	healthy, energetic	Adjective	Jisho
118	天気	てんき	weather	Noun	Jisho
119	晴れる	はれる	be sunny, clear up	Verb	Jisho
120	こう	こう	like this, this kind of	Adverb	Jisho
121	昨日	きのう	yesterday	Noun	Jisho
122	開ける	あける	open, unlock	Verb	Jisho
123	開く	ひらく	open	Verb	Jisho
124	閉じる	とじる	close	Verb	Jisho
125	閉める	しめる	shut, close	Verb	Jisho
126	閉まる	しまる	be shut, be closed	Verb	Jisho
127	聞く	きく	hear, ask	Verb	Jisho
128	時間	じかん	time, hour	Noun	Jisho
129	高い	たかい	high, tall	Adjective	Jisho
130	くれる	くれる	be given	Verb	Jisho
131	安い	やすい	inexpensive, cheap	Adjective	Jisho
132	低い	ひくい	low, short	Adjective	Jisho
133	前	まえ	front, before	Noun	Jisho
134	後	あと	after	Adverb	Jisho
135	後ろ	うしろ	back, behind	Noun	Jisho
136	午後	ごご	afternoon, p.m.	Noun	Jisho
137	午前	ごぜん	morning, a.m.	Noun	Jisho
138	朝	あさ	morning	Noun	Jisho
139	昼	ひる	daytime, midday	Noun	Jisho
140	かなり	かなり	fairly, rather	Adverb	Jisho
141	晩	ばん	evening (usually from sunset to bedtime)	Noun	Jisho
142	今晩	こんばん	this evening, tonight	Noun	Jisho
143	夜	よる	night (from sunset to sunrise)	Noun	Jisho
144	食べる	たべる	eat	Verb	Jisho
145	飲む	のむ	drink	Verb	Jisho
146	ご飯	ごはん	cooked rice, meal	Noun	Jisho
147	買う	かう	buy	Verb	Jisho
148	見る	みる	see, look at	Verb	Jisho
149	見せる	みせる	show	Verb	Jisho
150	もっと	もっと	more	Adverb	Jisho
151	見つける	みつける	find	Verb	Jisho
152	見える	みえる	be visible	Verb	Jisho
