Kanji,Tether Group,Tether Order,Tether Raw,Total Instance Order,Total Instance Count,Indiv Instance Percentage,Cumm. Percentage,Source Order,Source Count,Source Percentage
一,1,2,2,2,2118509,1.2116%,1.2116%,1,4979,99.96%
大,1,7,7,7,1234629,0.7061%,1.9178%,2,4975,99.88%
人,1,1,1,1,2558655,1.4634%,3.3811%,3,4973,99.84%
見,1,3,3,3,1613816,0.9230%,4.3041%,4,4970,99.78%
出,1,5,5,5,1433907,0.8201%,5.1242%,5,4970,99.78%
中,1,12,12,12,1100813,0.6296%,5.7538%,6,4969,99.76%
思,1,8,8,8,1171974,0.6703%,6.4241%,7,4967,99.72%
時,1,20,21,21,875092,0.5005%,6.9246%,8,4966,99.70%
日,1,16,17,17,1001067,0.5725%,7.4971%,9,4965,99.68%
上,1,14,15,15,1072553,0.6134%,8.1106%,10,4964,99.66%
気,1,13,14,14,1092437,0.6248%,8.7354%,11,4963,99.64%
行,1,19,20,20,919428,0.5258%,9.2612%,12,4963,99.64%
目,1,29,31,31,714456,0.4086%,9.6698%,13,4963,99.64%
間,1,15,16,16,1023779,0.5855%,10.2554%,14,4962,99.62%
生,1,23,24,24,838948,0.4798%,10.7352%,15,4962,99.62%
後,1,44,46,46,538691,0.3081%,11.0433%,16,4962,99.62%
言,1,4,4,4,1476352,0.8444%,11.8876%,17,4961,99.60%
分,1,10,10,10,1112247,0.6361%,12.5238%,18,4961,99.60%
前,1,24,25,25,826509,0.4727%,12.9965%,19,4961,99.60%
自,1,18,19,19,938096,0.5365%,13.5330%,20,4960,99.58%
知,1,35,37,37,634011,0.3626%,13.8956%,21,4960,99.58%
手,1,9,9,9,1151069,0.6583%,14.5539%,22,4959,99.56%
全,1,99,103,103,311139,0.1779%,14.7319%,23,4958,99.54%
本,1,28,30,30,716510,0.4098%,15.1417%,24,4957,99.52%
来,1,26,28,28,730017,0.4175%,15.5592%,25,4954,99.46%
事,1,22,23,23,847833,0.4849%,16.0441%,26,4953,99.44%
方,1,25,27,27,731821,0.4186%,16.4627%,27,4953,99.44%
物,1,48,50,50,517526,0.2960%,16.7587%,28,4953,99.44%
下,1,27,29,29,728743,0.4168%,17.1754%,29,4952,99.42%
意,1,60,62,62,443680,0.2538%,17.4292%,30,4952,99.42%
度,1,62,64,64,440459,0.2519%,17.6811%,31,4952,99.42%
入,1,36,38,38,627452,0.3589%,18.0400%,32,4951,99.40%
子,1,6,6,6,1349643,0.7719%,18.8119%,33,4950,99.38%
二,1,17,18,18,948508,0.5425%,19.3544%,34,4950,99.38%
話,1,34,36,36,645446,0.3692%,19.7235%,35,4950,99.38%
立,1,37,39,39,609391,0.3485%,20.0720%,36,4950,99.38%
体,1,47,49,49,522964,0.2991%,20.3711%,37,4950,99.38%
不,1,68,70,70,393744,0.2252%,20.5963%,38,4950,99.38%
心,1,40,42,42,562232,0.3216%,20.9179%,39,4949,99.36%
身,1,55,57,57,458263,0.2621%,21.1800%,40,4949,99.36%
明,1,67,69,69,405101,0.2317%,21.4117%,41,4949,99.36%
何,1,21,22,22,865178,0.4948%,21.9065%,42,4948,99.34%
味,1,118,124,124,270592,0.1548%,22.0612%,43,4948,99.34%
部,1,38,40,40,599323,0.3428%,22.4040%,44,4947,99.32%
年,1,33,35,35,645587,0.3692%,22.7733%,45,4946,99.30%
場,1,52,54,54,466433,0.2668%,23.0400%,46,4946,99.30%
無,1,76,79,79,369845,0.2115%,23.2515%,47,4946,99.30%
最,1,107,112,112,295667,0.1691%,23.4206%,48,4946,99.30%
小,1,43,45,45,547406,0.3131%,23.7337%,49,4945,99.28%
者,1,32,34,34,686135,0.3924%,24.1261%,50,4944,99.26%
長,1,46,48,48,523623,0.2995%,24.4256%,51,4944,99.26%
