ぁ,41
あ,42
ぃ,43
い,44
ぅ,45
う,46
ぇ,47
え,48
ぉ,49
お,4a
か,4b
が,4c
き,4d
ぎ,4e
く,4f
ぐ,50
け,51
げ,52
こ,53
ご,54
さ,55
ざ,56
し,57
じ,58
す,59
ず,5A
せ,5B
ぜ,5C
そ,5D
ぞ,5E
た,5F
だ,60
ち,61
ぢ,62
っ,63
つ,64
づ,65
て,66
で,67
と,68
ど,69
な,6A
に,6B
ぬ,6C
ね,6D
の,6E
は,6F
ば,70
ぱ,71
ひ,72
び,73
ぴ,74
ふ,75
ぶ,76
ぷ,77
へ,78
べ,79
ぺ,7A
ほ,7B
ぼ,7C
ぽ,7D
ま,7E
み,7F
む,80
め,81
も,82
ゃ,83
や,84
ゅ,85
ゆ,86
ょ,87
よ,88
ら,89
り,8A
る,8B
れ,8C
ろ,8D
ゎ,8E
わ,8F
ゐ,90
ゑ,91
を,92
ん,93
ゔ,94
ゕ,95
ゖ,96
ァ,A1
ア,A2
ィ,A3
イ,A4
ゥ,A5
ウ,A6
ェ,A7
エ,A8
ォ,A9
オ,AA
カ,AB
ガ,AC
キ,AD
ギ,AE
ク,AF
グ,B0
ケ,B1
ゲ,B2
コ,B3
ゴ,B4
サ,B5
ザ,B6
シ,B7
ジ,B8
ス,B9
ズ,BA
セ,BB
ゼ,BC
ソ,BD
ゾ,BE
タ,BF
ダ,C0
チ,C1
ヂ,C2
ッ,C3
ツ,C4
ヅ,C5
テ,C6
デ,C7
ト,C8
ド,C9
ナ,CA
ニ,CB
ヌ,CC
ネ,CD
ノ,CE
ハ,CF
バ,D0
パ,D1
ヒ,D2
ビ,D3
ピ,D4
フ,D5
ブ,D6
プ,D7
ヘ,D8
ベ,D9
ペ,DA
ホ,DB
ボ,DC
ポ,DD
マ,DE
ミ,DF
ム,E0
メ,E1
モ,E2
ャ,E3
ヤ,E4
ュ,E5
ユ,E6
ョ,E7
ヨ,E8
ラ,E9
リ,EA
ル,EB
レ,EC
ロ,ED
ヮ,EE
ワ,EF
ヰ,F0
ヱ,F1
ヲ,F2
ン,F3
ヴ,F4
ヵ,F5
ヶ,F6
ヷ,F7
ー,FC
